Date,O18,,
1/15/1979,,,
2/15/1979,,,
3/15/1979,,,
4/15/1979,,,
5/15/1979,,,
6/15/1979,,,
7/15/1979,,,
8/15/1979,,,
9/15/1979,-5.61,,
10/15/1979,-4.21,,
11/15/1979,-2.4,,
12/15/1979,-3.36,1979,-2.6
1/15/1980,-2.78,,
2/15/1980,-1.66,,
3/15/1980,-3.31,,
4/15/1980,-4.21,,
5/15/1980,-3.33,,
6/15/1980,-6.39,,
7/15/1980,-4.91,,
8/15/1980,-4.52,,
9/15/1980,-3.32,,
10/15/1980,-5.98,,
11/15/1980,-1.63,,
12/15/1980,-1.91,1980,-1.406666667
1/15/1981,-0.69,,
2/15/1981,-1.62,,
3/15/1981,-2.46,,
4/15/1981,-2.63,,
5/15/1981,-6.25,,
6/15/1981,-5.02,,
7/15/1981,-4.16,,
8/15/1981,-5.35,,
9/15/1981,-5.28,,
10/15/1981,-3.67,,
11/15/1981,,,
12/15/1981,,1981,-2.315
1/15/1982,-2.67,,
2/15/1982,-1.96,,
3/15/1982,-3.33,,
4/15/1982,-5.47,,
5/15/1982,-3.65,,
6/15/1982,-6.12,,
7/15/1982,-4.66,,
8/15/1982,-3.41,,
9/15/1982,-1.16,,
10/15/1982,-2.88,,
11/15/1982,-2.69,,
12/15/1982,-3.19,1982,-3.8
1/15/1983,-3.47,,
2/15/1983,-4.74,,
3/15/1983,-5.9,,
4/15/1983,-4.35,,
5/15/1983,-4.66,,
6/15/1983,-5.59,,
7/15/1983,-5.96,,
8/15/1983,-2.66,,
9/15/1983,-4.45,,
10/15/1983,0.33,,
11/15/1983,-2.67,,
12/15/1983,-2.65,1983,-2.49
1/15/1984,-2.16,,
2/15/1984,-2.66,,
3/15/1984,-4.5,,
4/15/1984,-2.78,,
5/15/1984,-3.67,,
6/15/1984,-4.24,,
7/15/1984,-6.5,,
8/15/1984,-5.32,,
9/15/1984,-6.07,,
10/15/1984,-3.58,,
11/15/1984,-1.85,,
12/15/1984,-3.1,1984,-2.753333333
1/15/1985,-3.77,,
2/15/1985,-1.39,,
3/15/1985,-2.78,,
4/15/1985,-4.85,,
5/15/1985,-5.62,,
6/15/1985,-4.99,,
7/15/1985,,,
8/15/1985,-4.86,,
9/15/1985,-3.67,,
10/15/1985,-1.84,,
11/15/1985,-4.79,,
12/15/1985,-3.23,1985,-2.76
